,Movie_name,Genre,reviews,Sentiment
63,trolls world tour,Comedy,Robert De Niro is a gifted artist. All his movies including this are amazing,1
64,trolls world tour,Comedy,Interesting movie new concept,0
65,The Witches,Adventure,It's a story about a bankrupt family who cleverly placed themselves in the house of a well-to-do businessman.,1
66,The Witches,Adventure,"I did not like Babadook, but this one is actually different. One time watch movie",1
67,The Witches,Adventure,"I just watched this movie yesterday. This is an amazing movie. You can watch with your family. So, I gave 4.5 stars.",1
68,The Witches,Adventure,Great Movie,1
69,The Witches,Adventure,One time watch,1
70,Never Steal A man's second chance,Action,Good Screenplay and direction. Story plot goes along.,0
71,Never Steal A man's second chance,Action,"It is just an ok movie , which shows lot of potential but slowly fades away since the directors seems not too sure what to do with other characters.",0
72,Never Steal A man's second chance,Action,"Super fun movie! Very violent (not for kiddies, sorry) but it was fun! Jokes were hilarious, some were in your face, others were subtle and easy to miss, very well done with showcasing Harley's trauma from her past in a subtle inobvious manner throughout the movie.",1
73,Never Steal A man's second chance,Action,The movie is good to watch among with the animation creation and well presented,1
74,Never Steal A man's second chance,Action,"Additionally, a young girl Cassandra (Ella Jay Basco) gets caught in the middle of Harley’s mayhem, along with Renee Montaya (Rosie Perez), Dinah Lance (Jurnee Smollett-Bell) and Helena Bertinelli (Mary Elizabeth Winstead).",1
75,Greenland,Thriller,nice movie with sure watch to understand the world,1
76,Greenland,Thriller,Very good movie for youths and teenagers. That whom loves adventure movies.,1
77,Greenland,Thriller,Very good direction and very good acting too. Nice movie to watch in a weekend.,1
78,Greenland,Thriller,"not as sequel, good for individual watch",1
79,Greenland,Thriller,very good movie to watch,1
80,Antebellum,Horror,"I did not like Babadook, but this one is actually different. One time watch movie",1
81,Antebellum,Horror,"I just watched this movie yesterday. This is an amazing movie. You can watch with your family. So, I gave 4.5 stars.",1
82,Antebellum,Horror,Great Movie,1
83,Antebellum,Horror,One time watch,1
84,Antebellum,Horror,Good Screenplay and direction. Story plot goes along.,0
85,A secret : Dare to dream,Romance,Best movie watched over covid. Good family film. Happy sad emotional. I absolutely loved it,1
86,A secret : Dare to dream,Romance,The main character is a grumpy stubborn old window who doesn’t use the teaching or techniques of the law of attraction but yet gets the perfect life.,1
87,A secret : Dare to dream,Romance,"I absolutely loved it ❣It put a smile on my face , if your an avid secret fan like me by Rhonda Bryne.",1
88,A secret : Dare to dream,Romance,Good morning the story is good. The film has a good screenplay. All the actors were aptly selected and they have performed their role excellently...,1
89,A secret : Dare to dream,Romance,"Good Movie, Worth Watching it.",1
90,The Silencing,Crime,Best comedy I've seen in a long time. Don't know what all the bad reviews are about.,1
91,The Silencing,Crime,Enjoyed the subject matter and the fine acting by the female actors,1
92,The Silencing,Crime,Great movie suggest you to see in theater,1
93,The Silencing,Crime,Robert De Niro is a gifted artist. All his movies including this are amazing,1
94,The Silencing,Crime,Interesting movie new concept,0
95,Relic,Drama,It's a story about a bankrupt family who cleverly placed themselves in the house of a well-to-do businessman.,1
96,Relic,Drama,"Perfectly showing the side of society, we ignore",1
97,Relic,Drama,One of the aweosme movie in long long time. Must watch for quality time spending,1
98,Relic,Drama,"Love this movie!!the humour and the suspense,everything is so good ,a movie u can recommend to anyone",1
99,Relic,Drama,"The rollercoster of dark emotions
Perfect oscar deserving movie",1
100,BloodShot,Sci-Fi,"1917 is 1st World War story, is immersive to watch and movie sequence seems to be in continuous shot single take.",1
101,BloodShot,Sci-Fi,Very nice movie awesome thanks so much for the movie,1
102,BloodShot,Sci-Fi,makes the film an absolute viewing delight.,1
103,BloodShot,Sci-Fi,Tips to you on your site for me as the best for a long shot in to get to you by,1
104,BloodShot,Sci-Fi,Good historical movie about war between humanity.,1
105,Sonic the Hedgehog,Adventure,"This is a great movie. Indeed there are, but there are a couple of great things about it:",1
106,Sonic the Hedgehog,Adventure,Like other war movies (some are boring)- here the location is Afganistan and we really enjoyed Taliban-American troops engagement,1
107,Sonic the Hedgehog,Adventure,The position of the outpost is brilliantly choose.,1
108,Sonic the Hedgehog,adventure,Very good story plot. One of the best flims i've ever watched.,1
109,Sonic the Hedgehog,adventure,Nice movie and drama movie review poster premiere,1
110,Bad Boys for life,Action,Very good movie for youths and teenagers. That whom loves adventure movies.,1
111,Bad Boys for life,Action,Very good direction and very good acting too. Nice movie to watch in a weekend.,1
112,Bad Boys for life,Action,"not as sequel, good for individual watch",1
113,Bad Boys for life,Action,very good movie to watch,1
114,Bad Boys for life,Action,"I did not like Babadook, but this one is actually different. One time watch movie",1
115,The Lasr Full measure,war,"I just watched this movie yesterday. This is an amazing movie. You can watch with your family. So, I gave 4.5 stars.",1
116,The Lasr Full measure,war,Great Movie,1
117,The Lasr Full measure,war,One time watch,1
118,The Lasr Full measure,war,Good Screenplay and direction. Story plot goes along.,0
119,The Lasr Full measure,war,Best movie watched over covid. Good family film. Happy sad emotional. I absolutely loved it,1
120,Just Mercy,Drama,The main character is a grumpy stubborn old window who doesn’t use the teaching or techniques of the law of attraction but yet gets the perfect life.,1
121,Just Mercy,Drama,"I absolutely loved it ❣It put a smile on my face , if your an avid secret fan like me by Rhonda Bryne.",1
122,Just Mercy,Drama,Good morning the story is good. The film has a good screenplay. All the actors were aptly selected and they have performed their role excellently...,1
123,Just Mercy,Drama,"Good Movie, Worth Watching it.",1
124,Just Mercy,Drama,Best comedy I've seen in a long time. Don't know what all the bad reviews are about.,1
125,Dolittle,Comedy,Enjoyed the subject matter and the fine acting by the female actors,1
126,Dolittle,Comedy,Great movie suggest you to see in theater,1
127,Dolittle,Comedy,Robert De Niro is a gifted artist. All his movies including this are amazing,1
128,Dolittle,Comedy,Interesting movie new concept,0
129,Dolittle,Comedy,It's a story about a bankrupt family who cleverly placed themselves in the house of a well-to-do businessman.,1
130,Bombshell,Biography,"Perfectly showing the side of society, we ignore",1
131,Bombshell,Biography,One of the aweosme movie in long long time. Must watch for quality time spending,1
132,Bombshell,Biography,"Love this movie!!the humour and the suspense,everything is so good ,a movie u can recommend to anyone",1
133,Bombshell,Biography,"The rollercoster of dark emotions
Perfect oscar deserving movie",1
134,Bombshell,Biography,"1917 is 1st World War story, is immersive to watch and movie sequence seems to be in continuous shot single take.",1
135,The Lost city,Romance,Very nice movie awesome thanks so much for the movie,1
136,The Lost city,Romance,makes the film an absolute viewing delight.,1
137,The Lost city,Romance,Tips to you on your site for me as the best for a long shot in to get to you by,1
138,The Lost city,Romance,Good historical movie about war between humanity.,1
139,The Lost city,Romance,"This is a great movie. Indeed there are, but there are a couple of great things about it:",1
140,Life is  Beautiful,comedy,Like other war movies (some are boring)- here the location is Afganistan and we really enjoyed Taliban-American troops engagement,1
141,Life is  Beautiful,comedy,The position of the outpost is brilliantly choose.,1
142,Life is  Beautiful,comedy,Very good story plot. One of the best flims i've ever watched.,1
143,Life is  Beautiful,comedy,Nice movie and drama movie review poster premiere,1
144,Life is  Beautiful,comedy,Very good movie for youths and teenagers. That whom loves adventure movies.,1
145,Life is  Beautiful,comedy,Very good direction and very good acting too. Nice movie to watch in a weekend.,1
146,Good will Hunting,Drama,"not as sequel, good for individual watch",1
147,Good will Hunting,Drama,very good movie to watch,1
148,Good will Hunting,Drama,"I did not like Babadook, but this one is actually different. One time watch movie",1
149,Good will Hunting,Drama,"I just watched this movie yesterday. This is an amazing movie. You can watch with your family. So, I gave 4.5 stars.",1
150,Good will Hunting,Drama,Great Movie,1
151,The Shawshank redemption,Drama,One time watch,1
152,The Shawshank redemption,Drama,Good Screenplay and direction. Story plot goes along.,0
153,The Shawshank redemption,Drama,Best movie watched over covid. Good family film. Happy sad emotional. I absolutely loved it,1
154,The Shawshank redemption,Drama,The main character is a grumpy stubborn old window who doesn’t use the teaching or techniques of the law of attraction but yet gets the perfect life.,1
155,The Shawshank redemption,Drama,"I absolutely loved it ❣It put a smile on my face , if your an avid secret fan like me by Rhonda Bryne.",1
156,Angry men,Crime,Good morning the story is good. The film has a good screenplay. All the actors were aptly selected and they have performed their role excellently...,1
157,Angry men,Crime,"Good Movie, Worth Watching it.",1
158,Angry men,Crime,Best comedy I've seen in a long time. Don't know what all the bad reviews are about.,1
159,angry men,Crime,Enjoyed the subject matter and the fine acting by the female actors,1
160,angry men,Crime,Great movie suggest you to see in theater,1
161,The Dark Knight,Action,Robert De Niro is a gifted artist. All his movies including this are amazing,1
162,The Dark Knight,Action,Interesting movie new concept,0
163,The Dark Knight,Action,It's a story about a bankrupt family who cleverly placed themselves in the house of a well-to-do businessman.,1
164,The Dark Knight,Action,"Perfectly showing the side of society, we ignore",1
165,The Dark Knight,Action,One of the aweosme movie in long long time. Must watch for quality time spending,1
166,The Matrix,Sci-Fi,"Love this movie!!the humour and the suspense,everything is so good ,a movie u can recommend to anyone",1
167,The Matrix,Sci-Fi,"The rollercoster of dark emotions
Perfect oscar deserving movie",1
168,The Matrix,Sci-Fi,"1917 is 1st World War story, is immersive to watch and movie sequence seems to be in continuous shot single take.",1
169,The Matrix,Sci-Fi,Very nice movie awesome thanks so much for the movie,1
170,The Matrix,Sci-Fi,makes the film an absolute viewing delight.,1
171,Forest Gump,Romance,Tips to you on your site for me as the best for a long shot in to get to you by,1
172,Forest Gump,Romance,Good historical movie about war between humanity.,1
173,Forest Gump,Romance,"This is a great movie. Indeed there are, but there are a couple of great things about it:",1
174,Forest Gump,Romance,Like other war movies (some are boring)- here the location is Afganistan and we really enjoyed Taliban-American troops engagement,1
175,Forest Gump,Romance,The position of the outpost is brilliantly choose.,1
176,America Beauty,Drama,Very good story plot. One of the best flims i've ever watched.,1
177,America Beauty,Drama,Nice movie and drama movie review poster premiere,1
178,America Beauty,Drama,Very good movie for youths and teenagers. That whom loves adventure movies.,1
179,America Beauty,Drama,Very good direction and very good acting too. Nice movie to watch in a weekend.,1
180,America Beauty,Drama,"not as sequel, good for individual watch",1
181,The Godfather,Crime,very good movie to watch,1
182,The Godfather,Crime,"I did not like Babadook, but this one is actually different. One time watch movie",1
183,The Godfather,Crime,"I just watched this movie yesterday. This is an amazing movie. You can watch with your family. So, I gave 4.5 stars.",1
184,The Godfather,Crime,Great Movie,1
185,The Godfather,Crime,One time watch,1
186,the Departed,Thriller,Good Screenplay and direction. Story plot goes along.,0
187,the Departed,Thriller,Best movie watched over covid. Good family film. Happy sad emotional. I absolutely loved it,1
188,the Departed,Thriller,The main character is a grumpy stubborn old window who doesn’t use the teaching or techniques of the law of attraction but yet gets the perfect life.,1
189,the Departed,Thriller,"I absolutely loved it ❣It put a smile on my face , if your an avid secret fan like me by Rhonda Bryne.",1
190,the Departed,Thriller,Good morning the story is good. The film has a good screenplay. All the actors were aptly selected and they have performed their role excellently...,1
191,The Prestige,Mystery,"Good Movie, Worth Watching it.",1
192,The Prestige,Mystery,Best comedy I've seen in a long time. Don't know what all the bad reviews are about.,1
193,The Prestige,Mystery,Enjoyed the subject matter and the fine acting by the female actors,1
194,The Prestige,Mystery,Great movie suggest you to see in theater,1
195,The Prestige,Mystery,Robert De Niro is a gifted artist. All his movies including this are amazing,1
196,Gladiator,adventure,Interesting movie new concept,0
197,Gladiator,adventure,It's a story about a bankrupt family who cleverly placed themselves in the house of a well-to-do businessman.,1
198,Gladiator,adventure,"Perfectly showing the side of society, we ignore",1
199,Gladiator,adventure,One of the aweosme movie in long long time. Must watch for quality time spending,1
200,Gladiator,adventure,"Love this movie!!the humour and the suspense,everything is so good ,a movie u can recommend to anyone",1
201,Inglourious Basterds,war,"The rollercoster of dark emotions
Perfect oscar deserving movie",1
202,Inglourious Basterds,war,"1917 is 1st World War story, is immersive to watch and movie sequence seems to be in continuous shot single take.",1
203,Inglourious Basterds,war,Very nice movie awesome thanks so much for the movie,1
204,Inglourious Basterds,war,makes the film an absolute viewing delight.,1
205,Inglourious Basterds,war,Tips to you on your site for me as the best for a long shot in to get to you by,1
206,Million Dollar baby,Sport,Good historical movie about war between humanity.,1
207,Million Dollar baby,Sport,"This is a great movie. Indeed there are, but there are a couple of great things about it:",1
208,Million Dollar baby,Sport,Like other war movies (some are boring)- here the location is Afganistan and we really enjoyed Taliban-American troops engagement,1
209,Million Dollar baby,Sport,The position of the outpost is brilliantly choose.,1
210,Million Dollar baby,Sport,Very good story plot. One of the best flims i've ever watched.,1
211,The Aviator,Biography,Nice movie and drama movie review poster premiere,1
212,The Aviator,Biography,Very good movie for youths and teenagers. That whom loves adventure movies.,1
213,The Aviator,Biography,Very good direction and very good acting too. Nice movie to watch in a weekend.,1
214,The Aviator,Biography,"not as sequel, good for individual watch",1
215,The Aviator,Biography,very good movie to watch,1
216,Avatar,Fantasy,"I did not like Babadook, but this one is actually different. One time watch movie",1
217,Avatar,Fantasy,"I just watched this movie yesterday. This is an amazing movie. You can watch with your family. So, I gave 4.5 stars.",1
218,Avatar,Fantasy,Great Movie,1
219,Avatar,Fantasy,One time watch,1
220,Avatar,Fantasy,Good Screenplay and direction. Story plot goes along.,0
221,Big Fish,Fantasy,Best movie watched over covid. Good family film. Happy sad emotional. I absolutely loved it,1
222,Big Fish,Fantasy,The main character is a grumpy stubborn old window who doesn’t use the teaching or techniques of the law of attraction but yet gets the perfect life.,1
223,Big Fish,Fantasy,"I absolutely loved it ❣It put a smile on my face , if your an avid secret fan like me by Rhonda Bryne.",1
224,Big Fish,Fantasy,Good morning the story is good. The film has a good screenplay. All the actors were aptly selected and they have performed their role excellently...,1
225,Big Fish,Fantasy,"Good Movie, Worth Watching it.",1
226,Big Fish,Fantasy,Best comedy I've seen in a long time. Don't know what all the bad reviews are about.,1
227,Big Fish,Fantasy,Enjoyed the subject matter and the fine acting by the female actors,1
228,Big Fish,Fantasy,Great movie suggest you to see in theater,1
229,Meet Joe Black,Romance,Robert De Niro is a gifted artist. All his movies including this are amazing,1
230,Meet Joe Black,Romance,Interesting movie new concept,0
231,Meet Joe Black,Romance,It's a story about a bankrupt family who cleverly placed themselves in the house of a well-to-do businessman.,1
232,Meet Joe Black,Romance,"Perfectly showing the side of society, we ignore",1
233,Meet Joe Black,Romance,One of the aweosme movie in long long time. Must watch for quality time spending,1
234,The Town,Thriller,"Love this movie!!the humour and the suspense,everything is so good ,a movie u can recommend to anyone",1
235,The Town,Thriller,"The rollercoster of dark emotions
Perfect oscar deserving movie",1
236,The Town,Thriller,"1917 is 1st World War story, is immersive to watch and movie sequence seems to be in continuous shot single take.",1
237,The Town,Thriller,Very nice movie awesome thanks so much for the movie,1
238,The Town,Thriller,makes the film an absolute viewing delight.,1
239,Schndler's List,History,Tips to you on your site for me as the best for a long shot in to get to you by,1
240,Schndler's List,History,Good historical movie about war between humanity.,1
241,Schndler's List,History,"This is a great movie. Indeed there are, but there are a couple of great things about it:",1
242,Schndler's List,History,Like other war movies (some are boring)- here the location is Afganistan and we really enjoyed Taliban-American troops engagement,1
243,Schndler's List,History,The position of the outpost is brilliantly choose.,1
244,Titanic,Drama,Very good story plot. One of the best flims i've ever watched.,1
245,Titanic,Drama,Nice movie and drama movie review poster premiere,1
246,Titanic,Drama,Very good movie for youths and teenagers. That whom loves adventure movies.,1
247,Titanic,Drama,Very good direction and very good acting too. Nice movie to watch in a weekend.,1
248,Titanic,Drama,"not as sequel, good for individual watch",1
249,spy game,Crime,very good movie to watch,1
250,spy game,Crime,"I did not like Babadook, but this one is actually different. One time watch movie",1
251,spy game,Crime,"I just watched this movie yesterday. This is an amazing movie. You can watch with your family. So, I gave 4.5 stars.",1
252,spy game,Crime,Great Movie,1
253,spy game,Crime,One time watch,1
254,psycho,Mystery,Good Screenplay and direction. Story plot goes along.,0
255,psycho,Mystery,Best movie watched over covid. Good family film. Happy sad emotional. I absolutely loved it,1
256,psycho,Mystery,The main character is a grumpy stubborn old window who doesn’t use the teaching or techniques of the law of attraction but yet gets the perfect life.,1
257,psycho,Mystery,"I absolutely loved it ❣It put a smile on my face , if your an avid secret fan like me by Rhonda Bryne.",1
258,psycho,Mystery,Good morning the story is good. The film has a good screenplay. All the actors were aptly selected and they have performed their role excellently...,1
259,pay check,Sci-Fi,"Good Movie, Worth Watching it.",1
260,pay check,Sci-Fi,Best comedy I've seen in a long time. Don't know what all the bad reviews are about.,1
261,pay check,Sci-Fi,Enjoyed the subject matter and the fine acting by the female actors,1
262,pay check,Sci-Fi,Great movie suggest you to see in theater,1
263,pay check,Sci-Fi,Robert De Niro is a gifted artist. All his movies including this are amazing,1
264,Mission impossible II,Action,Interesting movie new concept,0
265,Mission impossible II,Action,It's a story about a bankrupt family who cleverly placed themselves in the house of a well-to-do businessman.,1
266,Mission impossible II,Action,"Perfectly showing the side of society, we ignore",1
267,Mission impossible II,Action,One of the aweosme movie in long long time. Must watch for quality time spending,1
268,Mission impossible II,Action,loved it,1
269,Pay it forward,Drama,"The rollercoster of dark emotions
Perfect oscar deserving movie",1
270,Pay it forward,Drama,"1917 is 1st World War story, is immersive to watch and movie sequence seems to be in continuous shot single take.",1
271,Pay it forward,Drama,Very nice movie awesome thanks so much for the movie,1
272,Pay it forward,Drama,makes the film an absolute viewing delight.,1
273,Pay it forward,Drama,Tips to you on your site for me as the best for a long shot in to get to you by,1
274,Invictus,History,Good historical movie about war between humanity.,1
275,Invictus,History,"This is a great movie. Indeed there are, but there are a couple of great things about it:",1
276,Invictus,History,Like other war movies (some are boring)- here the location is Afganistan and we really enjoyed Taliban-American troops engagement,1
277,Invictus,History,The position of the outpost is brilliantly choose.,1
278,Invictus,History,Very good story plot. One of the best flims i've ever watched.,1
279,Se7ev,Crime,Nice movie and drama movie review poster premiere,1
280,Se7ev,Crime,Very good movie for youths and teenagers. That whom loves adventure movies.,1
281,Se7ev,Crime,Very good direction and very good acting too. Nice movie to watch in a weekend.,1
282,Se7ev,Crime,"not as sequel, good for individual watch",1
283,Se7ev,Crime,very good movie to watch,1
284,Saving private Ryan,Drama,"I did not like Babadook, but this one is actually different. One time watch movie",1
285,Cast Away,adventure,"I just watched this movie yesterday. This is an amazing movie. You can watch with your family. So, I gave 4.5 stars.",1
286,Cast Away,adventure,Great Movie,1
287,Cast Away,adventure,One time watch,1
288,Cast Away,adventure,Good Screenplay and direction. Story plot goes along.,0
289,the last summer,action,Best movie watched over covid. Good family film. Happy sad emotional. I absolutely loved it,1
290,the last summer,action,The main character is a grumpy stubborn old window who doesn’t use the teaching or techniques of the law of attraction but yet gets the perfect life.,1
291,the last summer,action,"I absolutely loved it ❣It put a smile on my face , if your an avid secret fan like me by Rhonda Bryne.",1
292,the last summer,action,Good morning the story is good. The film has a good screenplay. All the actors were aptly selected and they have performed their role excellently...,1
293,the last summer,action,"Good Movie, Worth Watching it.",1
294,Munich,Drama,Best comedy I've seen in a long time. Don't know what all the bad reviews are about.,1
295,Munich,Drama,Enjoyed the subject matter and the fine acting by the female actors,1
296,Munich,Drama,Great movie suggest you to see in theater,1
297,Munich,Drama,Robert De Niro is a gifted artist. All his movies including this are amazing,1
298,Munich,Drama,Interesting movie new concept,0
299,The longest yard,Comedy,It's a story about a bankrupt family who cleverly placed themselves in the house of a well-to-do businessman.,1
300,The longest yard,Comedy,"Perfectly showing the side of society, we ignore",1
301,The longest yard,Comedy,One of the aweosme movie in long long time. Must watch for quality time spending,1
302,The longest yard,Comedy,"Love this movie!!the humour and the suspense,everything is so good ,a movie u can recommend to anyone",1
303,The longest yard,Comedy,"The rollercoster of dark emotions
Perfect oscar deserving movie",1
304,Bruce Almighty,Fantasy,"1917 is 1st World War story, is immersive to watch and movie sequence seems to be in continuous shot single take.",1
305,Bruce Almighty,Fantasy,Very nice movie awesome thanks so much for the movie,1
306,Bruce Almighty,Fantasy,makes the film an absolute viewing delight.,1
307,Bruce Almighty,Fantasy,Tips to you on your site for me as the best for a long shot in to get to you by,1
308,Bruce Almighty,Fantasy,Good historical movie about war between humanity.,1
309,Inception,Comedy,"This is a great movie. Indeed there are, but there are a couple of great things about it:",1
310,Inception,Comedy,Like other war movies (some are boring)- here the location is Afganistan and we really enjoyed Taliban-American troops engagement,1
311,Inception,Comedy,The position of the outpost is brilliantly choose.,1
312,Inception,Comedy,Very good story plot. One of the best flims i've ever watched.,1
313,Inception,Comedy,Nice movie and drama movie review poster premiere,1
314,Sir,Drama,This movie was actually good and I like the movie. I recommended You to watch this movie because this movie is actually very good people also like it I am sure that your very happy after watching this movie...,1
315,Sir,Drama,Sounds interesting. Shall look for this movie.,0
316,Sir,Drama,"Its actually amazing based on the fact the stereotypical prejudice and divided of society against the person with which you can actually find that one connection or understanding. Nuanced performances from actors! While Tillottama is already established and known for her performances, where was Vivek hiding all this while??..",1
317,Sir,Drama,"It’s so thought provoking. The romance, subtle emotions, story with super acting & direction is just staying with me for days after seeing it. Will see again ...",1
318,Sir,Drama,Nice,1
319,Chhalaang,Comedy,Good movie on sports youngsters watch it.,1
320,Chhalaang,Comedy,Good Timepass Movie on OTT,1
321,Chhalaang,Comedy,"Childish movie..... couldn't understand the purpose of this movie????... flawed acting by RK Rao and same ""stereo"" type acting by Nushrat... Nice to see Satsih Kaushik and Saurabh Shukhla.......",0
322,Chhalaang,Comedy,Very nice movie. Rajkumar Rao is as usual endearing. Good direction by Hansal Mehta.,1
323,Chhalaang,Comedy,"Nice movie, Acting of rajkumar is at best but the story writing is not that good",1
324,Suraj pe Mangal Bhari,Family,This movie was good you should watch this movie but sometime this movie disappoint you so it's your choice,1
325,Suraj pe Mangal Bhari,Family,What kind of movie is this? Complete trash.,0
326,Suraj pe Mangal Bhari,Family,"Despite everything good, this movie misses something",1
327,Suraj pe Mangal Bhari,Family,Best entertaining movie after this lockdown manoj sir and diljit are killer in this role,1
328,Suraj pe Mangal Bhari,Family,Don't like rubbish Bollywood.....,0
329,Ludo,Comedy,"Outstanding movie once again delivered by Anurag Basu. Full time watchable excellent story, screen play, direction, every thing. Fabulous....",1
330,Ludo,Comedy,Worst movie. Nobody should watch. Mental torture.,0
331,Ludo,Comedy,Why this movie was even planned and made???? Can I have the refund of my $$$ after watching this movie? Highly boring and aimless movie... Koi toh roko,0
332,Ludo,Comedy,Average But Plot is weak,0
333,Ludo,Comedy,A great watch .. dark comedy .. great direction,1
